Title,City,Salary,Technologies
Senior Python Engineer (Django), remote,$3000–4000,"Python, Linux, Js, Docker"
Senior Python Engineer, remote,,"Flask, Python, Docker, Api"
"Lead Full Stack Python(Flask)/React (80% BE, 20% FE)", remote,,"Python, Fullstack"
Senior software engineer (scraping), remote,,"Python, Aws, Microservices"
Customer Support Engineer, remote,,"Python, Sql"
Python Back-End Engineer (AI-marketing platform), Kyiv,,"Python, Rest, Postgresql, Fastapi"
Python Developer/Architect (IoT), Lviv,,"Python, Microservices"
Python developer (Scraping)," Lviv, remote",,"Python, Algorithms, Javascript"
Німецькомовний Junior Developer, remote,,Python
Data Analyst (Entry Level) — Python knowledge Preferred, remote,,"Python, Api"
Senior Python and ML Engineer," relocation, remote",$5500–6500,"Python, Rest"
Python Developer, remote,,"Python, Api, Fullstack"
Middle Backend Developer (Jiji), Kyiv,,"Python, Sql, Microservices, Javascript, Fastapi"
Senior Python Engineer," Kyiv, Kharkiv, Lviv, Vinnytsia, Ivano-Frankivsk, Lutsk, Poltava, Khmelnytskyi, Cherkasy, relocation, remote",,Python
Software Engineer (React+Python)," Kyiv, Lviv, Krakow (Poland), Warsaw (Poland), remote",,Python
Python Developer for ArcGIS," Kyiv, remote",,"Python, Rest, Api"
Senior/Lead Python Engineer (#1892)," Kyiv, Lviv, Dnipro, Vinnytsia, Ivano-Frankivsk, Ternopil, remote",,"Python, Azure, Aws"
Staff Python Engineer, remote,$5000–7500,"Flask, Aws, Python, Django, Javascript, Fastapi, Postgresql"
Senior Python Developer," Kyiv, remote",,"Python, Aws, Docker, Postgresql"
Solution Architect on Python, Kyiv,,"Oop, Python, Microservices"
Python Developer, remote,,"Aws, Docker, Python, Microservices, Nosql"
Python Team Lead (with PM or DM exp.), We're a fully remote team thus we do not have an office. Most of our developers are based in Ukraine.,,"Python, Sql, Nosql"
Senior Full-stack Engineer (Python +React/Angular)," Kharkiv, remote",,"Angular, Python, Django, Aws"
Senior Full-stack (React or Vue+Python) Engineer," relocation, remote",,"Graphql, Python, Sql, Nosql, React"
Middle Python Engineer (Data Platform), remote,,"Python, Sql, Nosql"
Senior Python Developer," Lviv, remote",,"Python, Aws, Postgresql"
Python backend developer, remote,,"Python, Sql, Fastapi, Postgresql, Nosql"
Senior / Lead Python Software Engineer," Kyiv, Kharkiv, Lviv, Dnipro, Odesa, Vinnytsia, Ivano-Frankivsk, Khmelnytskyi, Zhytomyr, Uzhhorod, Cherkasy, Chernivtsi, remote",,"Python, Azure, Rest"
Senior Python Engineer (Data Platform), remote,,"Python, Sql, Nosql"
Senior Python Developer, remote,,"Python, Sql, Django, Microservices, Rest, Redis"
Senior Backend Engineer (Python)," relocation, remote",,"Python, Docker, Nosql"
Middle Python Database Developer," Kyiv, remote",,"Python, Api, Postgresql"
Middle Python Database Developer Cloud," Kyiv, remote",,Python
Senior Python Automation QA Engineer," Lviv, remote",,"Python, Api"
Middle Python Engineer (ML project)," Kyiv, remote",,"Python, Nosql, Redis"
Middle/Senior Python Developer, remote,,"Python, Sql, Nosql, Git"
Core Support Engineer," Vinnytsia, remote",,"Html, Docker, Python, Sql, Javascript, Oop, Linux"
Senior Backend Python Developer," Kyiv, Lviv, Odesa, Ivano-Frankivsk, Kremenchuk, Poltava, remote",,"Aws, Api, Python, Microservices, Nosql"
Senior Python Developer," relocation, remote",,"Oop, Python, Api"
Middle Python Back-end Developer, remote,$1600–2000,"Oop, Python, Aws, Docker"
Middle Full-Stack Developer, Kyiv,,"Docker, Python, Django, Rest, Api, React"
Senior Back-End Engineer (Python), Kyiv,,Python
"Senior Full-Stack Developer (Python, Node.js, TypeScript, React)", remote,$4500,"Python, React"
"Backend developer (Python, PHP)", remote,$2000–3000,Python
Python Web Developer," Dnipro, Ivano-Frankivsk, Valencia (Spain), remote",$3000–4000,"Python, Django, Docker, Fastapi"
"General QA Engineer (Python, Abroad)"," relocation, remote",,"Aws, Graphql, Python, Oop, Api"
Automation QA Engineer (Python) Freelance," Lviv, Lutsk, Rivne, remote",,"Rest, Docker, Networking"
Senior Test Automation Engineer w/ Python, remote,,"Python, Rest, Api"
Senior Python / Golang Developer in Email Services: Development & QA Team, remote,,"Networking, Python, Django, Linux, Rest, Redis"
Python trainer (part-time)," Kyiv, remote",$20,Python
Senior Python Developer, remote,,"Python, Sql, Docker, Nosql"
